"","Branch","FIELDID","StreamName","Year","DateSampled","Common_Name","Quanity","Length","Final_FIELDID","COMID"
"261","Main","mn-1dnr","Main Branch",1986,"7/28/86","fathead minnow",15,"0","main18","10848472"
"262","Main","mn-1dnr","Main Branch",1986,"7/28/86","hornyhead chub",36,"0","main18","10848472"
"263","Main","mn-1dnr","Main Branch",1986,"7/28/86","stonecat",4,"0","main18","10848472"
"264","Main","mn-1dnr","Main Rouge",1995,"7/25/95","bluntnose minnow",239,"470 ft","main18","10848472"
"265","Main","mn-1dnr","Main Rouge",1995,"7/25/95","common shiner",245,"470 ft","main18","10848472"
"266","Main","mn-1dnr","Main Rouge",1995,"7/25/95","creek chub",263,"470 ft","main18","10848472"
"267","Main","mn-1dnr","Main Rouge",1995,"7/25/95","white sucker",54,"470 ft","main18","10848472"
"268","Main","mn-1dnr","Main Rouge",1995,"7/25/95","central stoneroller",42,"470 ft","main18","10848472"
"269","Main","mn-1dnr","Main Rouge",1995,"7/25/95","largemouth bass",23,"470 ft","main18","10848472"
"270","Main","mn-1dnr","Main Rouge",1995,"7/25/95","common carp",29,"470 ft","main18","10848472"
"271","Main","mn-1dnr","Main Rouge",1995,"7/25/95","rock bass",8,"470 ft","main18","10848472"
"272","Main","mn-1dnr","Main Rouge",1995,"7/25/95","stonecat",13,"470 ft","main18","10848472"
"273","Main","mn-1dnr","Main Rouge",1995,"7/25/95","johnny darter",3,"470 ft","main18","10848472"
"274","Main","mn-1dnr","Main Rouge",1995,"7/25/95","green sunfish",5,"470 ft","main18","10848472"
"275","Main","mn-1dnr","Main Rouge",1995,"7/25/95","bluegill",2,"470 ft","main18","10848472"
"276","Main","mn-1dnr","Main Rouge",1995,"7/25/95","yellow bullhead",1,"470 ft","main18","10848472"
"277","Main","mn-1dnr","Main Rouge",1995,"7/25/95","spotfin shiner",1,"470 ft","main18","10848472"
